mouse_moves,mouse_clicks,keystrokes,scrolls,time_spent,label
755,67,285,64,860,0
590,53,208,48,692,0
725,64,270,61,835,0
655,58,218,53,708,0
194,4,44,3,206,1
178,3,41,1,185,1
208,10,80,6,223,1
184,4,42,1,192,1
204,10,78,6,219,1
670,61,209,54,654,0
760,68,288,64,865,0
595,53,210,48,696,0
730,65,272,61,840,0
660,59,220,54,712,0
196,4,45,3,208,1
180,3,42,1,187,1
210,10,81,6,225,1
186,4,43,1,194,1
206,10,79,6,221,1
675,61,211,54,657,0
765,68,290,65,870,0
600,54,212,49,700,0
735,65,275,62,845,0
665,59,222,54,716,0
198,4,45,3,210,1
182,3,42,1,189,1
212,10,82,6,227,1
188,4,43,1,196,1
208,10,80,6,223,1
680,62,213,55,660,0
770,69,292,65,875,0
605,54,214,49,704,0
740,66,278,62,850,0
670,60,224,55,720,0
200,4,46,3,212,1
184,3,43,1,191,1
214,10,83,6,229,1
190,4,44,1,198,1
210,10,81,6,225,1
685,62,215,55,663,0
775,69,295,66,880,0
610,55,216,50,708,0
745,66,280,63,855,0
675,60,226,55,724,0
202,4,46,3,214,1
186,3,43,1,193,1
216,10,84,6,231,1
192,4,44,1,200,1
212,10,82,6,227,1
690,63,217,56,666,0
780,70,298,66,885,0
615,55,218,50,712,0
750,67,282,63,860,0
680,61,228,56,728,0
204,4,47,3,216,1
188,3,44,1,195,1
218,10,85,6,233,1
194,4,45,1,202,1
214,10,83,6,229,1
695,63,219,56,669,0
785,70,300,67,890,0
620,56,220,51,716,0
755,67,285,64,865,0
685,61,230,56,732,0
206,4,47,3,218,1
190,3,44,1,197,1
220,10,86,6,235,1
196,4,45,1,204,1
216,10,84,6,231,1
700,64,221,57,672,0
790,71,302,67,895,0
625,56,222,51,720,0
760,68,288,64,870,0
690,62,232,57,736,0
208,4,48,3,220,1
192,3,45,1,199,1
222,10,87,6,237,1
198,4,46,1,206,1
218,10,85,6,233,1
705,64,223,57,675,0
795,71,305,68,900,0
630,57,224,52,724,0
765,68,290,65,875,0
695,62,234,57,740,0
210,4,48,3,222,1
194,3,45,1,201,1
224,10,88,6,239,1
200,4,46,1,208,1
220,10,86,6,235,1
710,65,225,58,678,0
800,72,308,68,905,0
635,57,226,52,728,0
770,69,292,65,880,0
700,63,236,58,744,0
212,4,49,3,224,1
196,3,46,1,203,1
226,10,89,6,241,1
202,4,47,1,210,1
222,10,87,6,237,1
715,65,227,58,681,0
805,72,310,69,910,0
640,58,228,53,732,0
775,69,295,66,885,0
705,63,238,58,748,0
214,4,49,3,226,1
198,3,46,1,205,1
228,10,90,6,243,1
204,4,47,1,212,1
224,10,88,6,239,1
720,66,229,59,684,0
810,73,312,69,915,0
645,58,230,53,736,0
780,70,298,66,890,0
710,64,240,59,752,0
216,4,50,3,228,1
200,3,47,1,207,1
230,10,91,6,245,1
206,4,48,1,214,1
226,10,89,6,241,1
725,66,231,59,687,0
815,73,315,70,920,0
650,59,232,54,740,0
785,70,300,67,895,0
715,64,242,59,756,0
218,4,50,3,230,1
202,3,47,1,209,1
232,10,92,6,247,1
208,4,48,1,216,1
228,10,90,6,243,1
730,67,233,60,690,0
820,74,318,70,925,0
655,59,234,54,744,0
790,71,302,67,900,0
720,65,244,60,760,0
220,4,51,3,232,1
204,3,48,1,211,1
234,10,93,6,249,1
210,4,49,1,218,1
230,10,91,6,245,1
735,67,235,60,693,0
825,74,320,71,930,0
660,60,236,55,748,0
795,71,305,68,905,0
725,65,246,60,764,0
222,4,51,3,234,1
206,3,48,1,213,1
236,10,94,6,251,1
212,4,49,1,220,1
232,10,92,6,247,1
740,68,237,61,696,0
830,75,322,71,935,0
665,60,238,55,752,0
800,72,308,68,910,0
730,66,248,61,768,0
224,4,52,3,236,1
208,3,49,1,215,1
238,10,95,6,253,1
214,4,50,1,222,1
234,10,93,6,249,1
745,68,239,61,699,0
835,75,325,72,940,0
670,61,240,56,756,0
805,72,310,69,915,0
735,66,250,61,772,0
226,4,52,3,238,1
210,3,49,1,217,1
240,10,96,6,255,1
216,4,50,1,224,1
236,10,94,6,251,1
750,69,241,62,702,0
840,76,328,72,945,0
675,61,242,56,760,0
810,73,312,69,920,0
740,67,252,62,776,0
228,4,53,3,240,1
212,3,50,1,219,1
242,10,97,6,257,1
218,4,51,1,226,1
238,10,95,6,253,1
755,69,243,62,705,0
845,76,330,73,950,0
680,62,244,57,764,0
815,73,315,70,925,0
745,67,254,62,780,0
230,4,53,3,242,1
214,3,50,1,221,1
244,10,98,6,259,1
220,4,51,1,228,1
240,10,96,6,255,1
760,70,245,63,708,0
850,77,332,73,955,0
685,62,246,57,768,0
820,74,318,70,930,0
750,68,256,63,784,0
232,4,54,3,244,1
216,3,51,1,223,1
246,10,99,6,261,1
222,4,52,1,230,1
242,10,97,6,257,1
765,70,247,63,711,0
855,77,335,74,960,0
690,63,248,58,772,0
825,74,320,71,935,0
755,68,258,63,788,0
234,4,54,3,246,1
218,3,51,1,225,1
248,10,100,6,263,1
224,4,52,1,232,1
244,10,98,6,259,1
770,71,249,64,714,0
860,78,338,74,965,0
695,63,250,58,776,0
830,75,322,71,940,0
760,69,260,64,792,0
236,4,55,3,248,1
220,3,52,1,227,1
250,10,101,6,265,1
226,4,53,1,234,1
246,10,99,6,261,1
775,71,251,64,717,0
865,78,340,75,970,0
700,64,252,59,780,0
835,75,325,72,945,0
765,69,262,64,796,0
238,4,55,3,250,1
222,3,52,1,229,1
252,10,102,6,267,1
228,4,53,1,236,1
248,10,100,6,263,1
780,72,253,65,720,0
870,79,342,75,975,0
705,64,254,59,784,0
840,76,328,72,950,0
770,70,264,65,800,0
240,4,56,3,252,1
224,3,53,1,231,1
254,10,103,6,269,1
230,4,54,1,238,1
250,10,101,6,265,1
785,72,255,65,723,0
875,79,345,76,980,0
710,65,256,60,788,0
845,76,330,73,955,0
775,70,266,65,804,0
242,4,56,3,254,1
226,3,53,1,233,1
256,10,104,6,271,1
232,4,54,1,240,1
252,10,102,6,267,1
790,73,257,66,726,0
880,80,348,76,985,0
715,65,258,60,792,0
850,77,332,73,960,0
780,71,268,66,808,0
244,4,57,3,256,1
228,3,54,1,235,1
258,10,105,6,273,1
234,4,55,1,242,1
254,10,103,6,269,1
795,73,259,66,729,0
885,80,350,77,990,0
720,66,260,61,796,0
855,77,335,74,965,0
785,71,270,66,812,0
246,4,57,3,258,1
230,3,54,1,237,1
260,10,106,6,275,1
236,4,55,1,244,1
256,10,104,6,271,1
800,74,261,67,732,0
890,81,352,77,995,0
725,66,262,61,800,0
860,78,338,74,970,0
790,72,272,67,816,0
248,4,58,3,260,1
232,3,55,1,239,1
262,10,107,6,277,1
238,4,56,1,246,1
258,10,105,6,273,1
805,74,263,67,735,0
895,81,355,78,1000,0
730,67,264,62,804,0
865,78,340,75,975,0
795,72,274,67,820,0
250,4,58,3,262,1
234,3,55,1,241,1
264,10,108,6,279,1
240,4,56,1,248,1
260,10,106,6,275,1
810,75,265,68,738,0
900,82,358,78,1005,0
735,67,266,62,808,0
870,79,342,75,980,0
800,73,276,68,824,0
252,4,59,3,264,1
236,3,56,1,243,1
266,10,109,6,281,1
242,4,57,1,250,1
262,10,107,6,277,1
815,75,267,68,741,0
905,82,360,79,1010,0
740,68,268,63,812,0
875,79,345,76,985,0
805,73,278,68,828,0
254,4,59,3,266,1
238,3,56,1,245,1
268,10,110,6,283,1
244,4,57,1,252,1
264,10,108,6,279,1
820,76,269,69,744,0
910,83,362,79,1015,0
745,68,270,63,816,0
880,80,348,76,990,0
810,74,280,69,832,0
256,4,60,3,268,1
240,3,57,1,247,1
270,10,111,6,285,1
246,4,58,1,254,1
266,10,109,6,281,1
825,76,271,69,747,0
915,83,365,80,1020,0
750,69,272,64,820,0
885,80,350,77,995,0
815,74,282,69,836,0
258,4,60,3,270,1
242,3,57,1,249,1
272,10,112,6,287,1
248,4,58,1,256,1
268,10,110,6,283,1
830,77,273,70,750,0
920,84,368,80,1025,0
755,69,274,64,824,0
890,81,352,77,1000,0
820,75,284,70,840,0
260,4,61,3,272,1
244,3,58,1,251,1
274,10,113,6,289,1
250,4,59,1,258,1
270,10,111,6,285,1
835,77,275,70,753,0
925,84,370,81,1030,0
760,70,276,65,828,0
895,81,355,78,1005,0
825,75,286,70,844,0
262,4,61,3,274,1
246,3,58,1,253,1
276,10,114,6,291,1
252,4,59,1,260,1
272,10,112,6,287,1
840,78,277,71,756,0
930,85,372,81,1035,0
765,70,278,65,832,0
900,82,358,78,1010,0
830,76,288,71,848,0
264,4,62,3,276,1
248,3,59,1,255,1
278,10,115,6,293,1
254,4,60,1,262,1
274,10,113,6,289,1
845,78,279,71,759,0
935,85,375,82,1040,0
770,71,280,66,836,0
905,82,360,79,1015,0
835,76,290,71,852,0
266,4,62,3,278,1
250,3,59,1,257,1
280,10,116,6,295,1
256,4,60,1,264,1
276,10,114,6,291,1
850,79,281,72,762,0
940,86,378,82,1045,0
775,71,282,66,840,0
910,83,362,79,1020,0
840,77,292,72,856,0
268,4,63,3,280,1
252,3,60,1,259,1
282,10,117,6,297,1
258,4,61,1,266,1
278,10,115,6,293,1
855,79,283,72,765,0
945,86,380,83,1050,0
780,72,284,67,844,0
915,83,365,80,1025,0
845,77,294,72,860,0
270,4,63,3,282,1
254,3,60,1,261,1
284,10,118,6,299,1
260,4,61,1,268,1
280,10,116,6,295,1
860,80,285,73,768,0
950,87,382,83,1055,0
785,72,286,67,848,0
920,84,368,80,1030,0
850,78,296,73,864,0
272,4,64,3,284,1
256,3,61,1,263,1
286,10,119,6,301,1
262,4,62,1,270,1
282,10,117,6,297,1
865,80,287,73,771,0
955,87,385,84,1060,0
790,73,288,68,852,0
925,84,370,81,1035,0
855,78,298,73,868,0
274,4,64,3,286,1
258,3,61,1,265,1
288,10,120,6,303,1
264,4,62,1,272,1
284,10,118,6,299,1
870,81,289,74,774,0
960,88,388,84,1065,0
795,73,290,68,856,0
930,85,372,81,1040,0
860,79,300,74,872,0
276,4,65,3,288,1
260,3,62,1,267,1
290,10,121,6,305,1
266,4,63,1,274,1
286,10,119,6,301,1
875,81,291,74,777,0
965,88,390,85,1070,0
800,74,292,69,860,0
935,85,375,82,1045,0
865,79,302,74,876,0
278,4,65,3,290,1
262,3,62,1,269,1
292,10,122,6,307,1
268,4,63,1,276,1
288,10,120,6,303,1
880,82,293,75,780,0
970,89,392,85,1075,0
805,74,294,69,864,0
940,86,378,82,1050,0
870,80,304,75,880,0
280,4,66,3,292,1
264,3,63,1,271,1
294,10,123,6,309,1
270,4,64,1,278,1
290,10,121,6,305,1
885,82,295,75,783,0
975,89,395,86,1080,0
810,75,296,70,868,0
945,86,380,83,1055,0
875,80,306,75,884,0
282,4,66,3,294,1
266,3,63,1,273,1
296,10,124,6,311,1
272,4,64,1,280,1
292,10,122,6,307,1
890,83,297,76,786,0
980,90,398,86,1085,0
815,75,298,70,872,0
950,87,382,83,1060,0
880,81,308,76,888,0
284,4,67,3,296,1
268,3,64,1,275,1
298,10,125,6,313,1
274,4,65,1,282,1
294,10,123,6,309,1
895,83,299,76,789,0
985,90,400,87,1090,0
820,76,300,71,876,0
955,87,385,84,1065,0
885,81,310,76,892,0
286,4,67,3,298,1
270,3,64,1,277,1
300,10,126,6,315,1
276,4,65,1,284,1
296,10,124,6,311,1
900,84,301,77,792,0
990,91,402,87,1095,0
825,76,302,71,880,0
960,88,388,84,1070,0
890,82,312,77,896,0
288,4,68,3,300,1
272,3,65,1,279,1
302,10,127,6,317,1
278,4,66,1,286,1
298,10,125,6,313,1
905,84,303,77,795,0
995,91,405,88,1100,0
830,77,304,72,884,0
965,88,390,85,1075,0
895,82,314,77,900,0
290,4,68,3,302,1
274,3,65,1,281,1
304,10,128,6,319,1
280,4,66,1,288,1
300,10,126,6,315,1
910,85,305,78,798,0
1000,92,408,88,1105,0
835,77,306,72,888,0
970,89,392,85,1080,0
900,83,316,78,904,0
292,4,69,3,304,1
276,3,66,1,283,1
306,10,129,6,321,1
282,4,67,1,290,1
302,10,127,6,317,1
915,85,307,78,801,0
1005,92,410,89,1110,0
840,78,308,73,892,0
975,89,395,86,1085,0
905,83,318,78,908,0
294,4,69,3,306,1
278,3,66,1,285,1
308,10,130,6,323,1
284,4,67,1,292,1
304,10,128,6,319,1
920,86,309,79,804,0
1010,93,412,89,1115,0
845,78,310,73,896,0
980,90,398,86,1090,0
910,84,320,79,912,0
296,4,70,3,308,1
280,3,67,1,287,1
310,10,131,6,325,1
286,4,68,1,294,1
306,10,129,6,321,1
925,86,311,79,807,0
1015,93,415,90,1120,0
850,79,312,74,900,0
985,90,400,87,1095,0
915,84,322,79,916,0
298,4,70,3,310,1
282,3,67,1,289,1
312,10,132,6,327,1
288,4,68,1,296,1
308,10,130,6,323,1
930,87,313,80,810,0
1020,94,418,90,1125,0
855,79,314,74,904,0
990,91,402,87,1100,0
920,85,324,80,920,0
300,4,71,3,312,1
284,3,68,1,291,1
314,10,133,6,329,1
290,4,69,1,298,1
310,10,131,6,325,1
935,87,315,80,813,0
1025,94,420,91,1130,0
860,80,316,75,908,0
995,91,405,88,1105,0
925,85,326,80,924,0
302,4,71,3,314,1
286,3,68,1,293,1
316,10,134,6,331,1
292,4,69,1,300,1
312,10,132,6,327,1
940,88,317,81,816,0
1030,95,422,91,1135,0
865,80,318,75,912,0
1000,92,408,88,1110,0
930,86,328,81,928,0
304,4,72,3,316,1
288,3,69,1,295,1
318,10,135,6,333,1
294,4,70,1,302,1
314,10,133,6,329,1
945,88,319,81,819,0
1035,95,425,92,1140,0
870,81,320,76,916,0
1005,92,410,89,1115,0
935,86,330,81,932,0
306,4,72,3,318,1
290,3,69,1,297,1
320,10,136,6,335,1
296,4,70,1,304,1
316,10,134,6,331,1
950,89,321,82,822,0
1040,96,428,92,1145,0
875,81,322,76,920,0
1010,93,412,89,1120,0
940,87,332,82,936,0
308,4,73,3,320,1
292,3,70,1,299,1
322,10,137,6,337,1
298,4,71,1,306,1
318,10,135,6,333,1
955,89,323,82,825,0
1045,96,430,93,1150,0
880,82,324,77,924,0
1015,93,415,90,1125,0
945,87,334,82,940,0
310,4,73,3,322,1
294,3,70,1,301,1
324,10,138,6,339,1
300,4,71,1,308,1
320,10,136,6,335,1
960,90,325,83,828,0
1050,97,432,93,1155,0
885,82,326,77,928,0
1020,94,418,90,1130,0
950,88,336,83,944,0
312,4,74,3,324,1
296,3,71,1,303,1
326,10,139,6,341,1
302,4,72,1,310,1
322,10,137,6,337,1
965,90,327,83,831,0
1055,97,435,94,1160,0
890,83,328,78,932,0
1025,94,420,91,1135,0
955,88,338,83,948,0
314,4,74,3,326,1
298,3,71,1,305,1
328,10,140,6,343,1
304,4,72,1,312,1
324,10,138,6,339,1
970,91,329,84,834,0
1060,98,438,94,1165,0
895,83,330,78,936,0
1030,95,422,91,1140,0
960,89,340,84,952,0
316,4,75,3,328,1
300,3,72,1,307,1
330,10,141,6,345,1
306,4,73,1,314,1
326,10,139,6,341,1
975,91,331,84,837,0
1065,98,440,95,1170,0
900,84,332,79,940,0
1035,95,425,92,1145,0
965,89,342,84,956,0
318,4,75,3,330,1
302,3,72,1,309,1
332,10,142,6,347,1
308,4,73,1,316,1
328,10,140,6,343,1
980,92,333,85,840,0
1070,99,442,95,1175,0
905,84,334,79,944,0
1040,96,428,92,1150,0
970,90,344,85,960,0
320,4,76,3,332,1
304,3,73,1,311,1
334,10,143,6,349,1
310,4,74,1,318,1
330,10,141,6,345,1
985,92,335,85,843,0
1075,99,445,96,1180,0
910,85,336,80,948,0
1045,96,430,93,1155,0
975,90,346,85,964,0
322,4,76,3,334,1
306,3,73,1,313,1
336,10,144,6,351,1
312,4,74,1,320,1
332,10,142,6,347,1
990,93,337,86,846,0
1080,100,448,96,1185,0
915,85,338,80,952,0
1050,97,432,93,1160,0
980,91,348,86,968,0
324,4,77,3,336,1
308,3,74,1,315,1
338,10,145,6,353,1
314,4,75,1,322,1
334,10,143,6,349,1
995,93,339,86,849,0
1085,100,450,97,1190,0
920,86,340,81,956,0
1055,97,435,94,1165,0
985,91,350,86,972,0
326,4,77,3,338,1
310,3,74,1,317,1
340,10,146,6,355,1
316,4,75,1,324,1
336,10,144,6,351,1
1000,94,341,87,852,0
1090,101,452,97,1195,0
925,86,342,81,960,0
1060,98,438,94,1170,0
990,92,352,87,976,0
328,4,78,3,340,1
312,3,75,1,319,1
342,10,147,6,357,1
318,4,76,1,326,1
338,10,145,6,353,1
1005,94,343,87,855,0
1095,101,455,98,1200,0
930,87,344,82,964,0
1065,98,440,95,1175,0
995,92,354,87,980,0
330,4,78,3,342,1
314,3,75,1,321,1
344,10,148,6,359,1
320,4,76,1,328,1
340,10,146,6,355,1
1010,95,345,88,858,0
1100,102,458,98,1205,0
935,87,346,82,968,0
1070,99,442,95,1180,0
1000,93,356,88,984,0
332,4,79,3,344,1
316,3,76,1,323,1
346,10,149,6,361,1
322,4,77,1,330,1
342,10,147,6,357,1
1015,95,347,88,861,0
1105,102,460,99,1210,0
940,88,348,83,972,0
1075,99,445,96,1185,0
1005,93,358,88,988,0
334,4,79,3,346,1
318,3,76,1,325,1
348,10,150,6,363,1
324,4,77,1,332,1
344,10,148,6,359,1
1020,96,349,89,864,0
1110,103,462,99,1215,0
945,88,350,83,976,0
1080,100,448,96,1190,0
1010,94,360,89,992,0
336,4,80,3,348,1
320,3,77,1,327,1
350,10,151,6,365,1
326,4,78,1,334,1
346,10,149,6,361,1
1025,96,351,89,867,0
1115,103,465,100,1220,0
950,89,352,84,980,0
1085,100,450,97,1195,0
1015,94,362,89,996,0
338,4,80,3,350,1
322,3,77,1,329,1
352,10,152,6,367,1
328,4,78,1,336,1
348,10,150,6,363,1
1030,97,353,90,870,0
1120,104,468,100,1225,0
955,89,354,84,984,0
1090,101,452,97,1200,0
1020,95,364,90,1000,0
340,4,81,3,352,1
324,3,78,1,331,1
354,10,153,6,369,1
330,4,79,1,338,1
350,10,151,6,365,1
1035,97,355,90,873,0
1125,104,470,101,1230,0
960,90,356,85,988,0
1095,101,455,98,1205,0
1025,95,366,90,1004,0
342,4,81,3,354,1
326,3,78,1,333,1
356,10,154,6,371,1
332,4,79,1,340,1
352,10,152,6,367,1
1040,98,357,91,876,0
1130,105,472,101,1235,0
965,90,358,85,992,0
1100,102,458,98,1210,0
1030,96,368,91,1008,0
344,4,82,3,356,1
328,3,79,1,335,1
358,10,155,6,373,1
334,4,80,1,342,1
354,10,153,6,369,1
1045,98,359,91,879,0
1135,105,475,102,1240,0
970,91,360,86,996,0
1105,102,460,99,1215,0
1035,96,370,91,1012,0
346,4,82,3,358,1
330,3,79,1,337,1
360,10,156,6,375,1
336,4,80,1,344,1
356,10,154,6,371,1
1050,99,361,92,882,0
1140,106,478,102,1245,0
975,91,362,86,1000,0
1110,103,462,99,1220,0
1040,97,372,92,1016,0
348,4,83,3,360,1
332,3,80,1,339,1
362,10,157,6,377,1
338,4,81,1,346,1
358,10,155,6,373,1
1055,99,363,92,885,0
1145,106,480,103,1250,0
980,92,364,87,1004,0
1115,103,465,100,1225,0
1045,97,374,92,1020,0
350,4,83,3,362,1
334,3,80,1,341,1
364,10,158,6,379,1
340,4,81,1,348,1
360,10,156,6,375,1
1060,100,365,93,888,0
1150,107,482,103,1255,0
985,92,366,87,1008,0
1120,104,468,100,1230,0
1050,98,376,93,1024,0
352,4,84,3,364,1
336,3,81,1,343,1
366,10,159,6,381,1
342,4,82,1,350,1
362,10,157,6,377,1
1065,100,367,93,891,0
1155,107,485,104,1260,0
990,93,368,88,1012,0
1125,104,470,101,1235,0
1055,98,378,93,1028,0
354,4,84,3,366,1
338,3,81,1,345,1
368,10,160,6,383,1
344,4,82,1,352,1
364,10,158,6,379,1
1070,101,369,94,894,0
1160,108,488,104,1265,0
995,93,370,88,1016,0
1130,105,472,101,1240,0
1060,99,380,94,1032,0
356,4,85,3,368,1
340,3,82,1,347,1
370,10,161,6,385,1
346,4,83,1,354,1
366,10,159,6,381,1
1075,101,371,94,897,0
1165,108,490,105,1270,0
1000,94,372,89,1020,0
1135,105,475,102,1245,0
1065,99,382,94,1036,0
358,4,85,3,370,1
342,3,82,1,349,1
372,10,162,6,387,1
348,4,83,1,356,1
368,10,160,6,383,1
1080,102,373,95,900,0
1170,109,492,105,1275,0
1005,94,374,89,1024,0
1140,106,478,102,1250,0
1070,100,384,95,1040,0
360,4,86,3,372,1
344,3,83,1,351,1
374,10,163,6,389,1
350,4,84,1,358,1
370,10,161,6,385,1
1085,102,375,95,903,0
1175,109,495,106,1280,0
1010,95,376,90,1028,0
1145,106,480,103,1255,0
1075,100,386,95,1044,0
362,4,86,3,374,1
346,3,83,1,353,1
376,10,164,6,391,1
352,4,84,1,360,1
372,10,162,6,387,1
1090,103,377,96,906,0
1180,110,498,106,1285,0
1015,95,378,90,1032,0
1150,107,482,103,1260,0
1080,101,388,96,1048,0
364,4,87,3,376,1
348,3,84,1,355,1
378,10,165,6,393,1
354,4,85,1,362,1
374,10,163,6,389,1
1095,103,379,96,909,0
1185,110,500,107,1290,0
1020,96,380,91,1036,0
1155,107,485,104,1265,0
1085,101,390,96,1052,0
366,4,87,3,378,1
350,3,84,1,357,1
380,10,166,6,395,1
356,4,85,1,364,1
376,10,164,6,391,1
1100,104,381,97,912,0
1190,111,502,107,1295,0
1025,96,382,91,1040,0
1160,108,488,104,1270,0
1090,102,392,97,1056,0
368,4,88,3,380,1
352,3,85,1,359,1
382,10,167,6,397,1
358,4,86,1,366,1
378,10,165,6,393,1
1105,104,383,97,915,0
1195,111,505,108,1300,0
1030,97,384,92,1044,0
1165,108,490,105,1275,0
1095,102,394,97,1060,0
370,4,88,3,382,1
354,3,85,1,361,1
384,10,168,6,399,1
360,4,86,1,368,1
380,10,166,6,395,1
1110,105,385,98,918,0
1200,112,508,108,1305,0
1035,97,386,92,1048,0
1170,109,492,105,1280,0
1100,103,396,98,1064,0
372,4,89,3,384,1
356,3,86,1,363,1
386,10,169,6,401,1
362,4,87,1,370,1
382,10,167,6,397,1
1115,105,387,98,921,0
1205,112,510,109,1310,0
1040,98,388,93,1052,0
1175,109,495,106,1285,0
1105,103,398,98,1068,0
374,4,89,3,386,1
358,3,86,1,365,1
388,10,170,6,403,1
364,4,87,1,372,1
384,10,168,6,399,1
1120,106,389,99,924,0
1210,113,512,109,1315,0
1045,98,390,93,1056,0
1180,110,498,106,1290,0
1110,104,400,99,1072,0
376,4,90,3,388,1
360,3,87,1,367,1
390,10,171,6,405,1
366,4,88,1,374,1
386,10,169,6,401,1
1125,106,391,99,927,0
1215,113,515,110,1320,0
1050,99,392,94,1060,0
1185,110,500,107,1295,0
1115,104,402,99,1076,0
378,4,90,3,390,1
362,3,87,1,369,1
392,10,172,6,407,1
368,4,88,1,376,1
388,10,170,6,403,1
1130,107,393,100,930,0
1220,114,518,110,1325,0
1055,99,394,94,1064,0
1190,111,502,107,1300,0
1120,105,404,100,1080,0
380,4,91,3,392,1
364,3,88,1,371,1
394,10,173,6,409,1
370,4,89,1,378,1
390,10,171,6,405,1
1135,107,395,100,933,0
1225,114,520,111,1330,0
1060,100,396,95,1068,0
1195,111,505,108,1305,0
1125,105,406,100,1084,0
382,4,91,3,394,1
366,3,88,1,373,1
396,10,174,6,411,1
372,4,89,1,380,1
392,10,172,6,407,1
1140,108,397,101,936,0
1230,115,522,111,1335,0
1065,100,398,95,1072,0
1200,112,508,108,1310,0
1130,106,408,101,1088,0
384,4,92,3,396,1
368,3,89,1,375,1
398,10,175,6,413,1
374,4,90,1,382,1
394,10,173,6,409,1
1145,108,399,101,939,0
1235,115,525,112,1340,0
1070,101,400,96,1076,0
1205,112,510,109,1315,0
1135,106,410,101,1092,0
386,4,92,3,398,1
370,3,89,1,377,1
400,10,176,6,415,1
376,4,90,1,384,1
396,10,174,6,411,1
1150,109,401,102,942,0
1240,116,528,112,1345,0
1075,101,402,96,1080,0
1210,113,512,109,1320,0
1140,107,412,102,1096,0
388,4,93,3,400,1
372,3,90,1,379,1
402,10,177,6,417,1
378,4,91,1,386,1
398,10,175,6,413,1
1155,109,403,102,945,0
1245,116,530,113,1350,0
1080,102,404,97,1084,0
1215,113,515,110,1325,0
1145,107,414,102,1100,0
390,4,93,3,402,1
374,3,90,1,381,1
404,10,178,6,419,1
380,4,91,1,388,1
400,10,176,6,415,1
1160,110,405,103,948,0
1250,117,532,113,1355,0
1085,102,406,97,1088,0
1220,114,518,110,1330,0
1150,108,416,103,1104,0
392,4,94,3,404,1
376,3,91,1,383,1
406,10,179,6,421,1
382,4,92,1,390,1
402,10,177,6,417,1
1165,110,407,103,951,0
1255,117,535,114,1360,0
1090,103,408,98,1092,0
1225,114,520,111,1335,0
1155,108,418,103,1108,0
394,4,94,3,406,1
378,3,91,1,385,1
408,10,180,6,423,1
384,4,92,1,392,1
404,10,178,6,419,1
1170,111,409,104,954,0
1260,118,538,114,1365,0
1095,103,410,98,1096,0
1230,115,522,111,1340,0
1160,109,420,104,1112,0
396,4,95,3,408,1
380,3,92,1,387,1
410,10,181,6,425,1
386,4,93,1,394,1
406,10,179,6,421,1
1175,111,411,104,957,0
1265,118,540,115,1370,0
1100,104,412,99,1100,0
1235,115,525,112,1345,0
1165,109,422,104,1116,0
398,4,95,3,410,1
382,3,92,1,389,1
412,10,182,6,427,1
388,4,93,1,396,1
408,10,180,6,423,1
1180,112,413,105,960,0
1270,119,542,115,1375,0
1105,104,414,99,1104,0
1240,116,528,112,1350,0
1170,110,424,105,1120,0
400,4,96,3,412,1
384,3,93,1,391,1
414,10,183,6,429,1
390,4,94,1,398,1
410,10,181,6,425,1
1185,112,415,105,963,0
1275,119,545,116,1380,0
1110,105,416,100,1108,0
1245,116,530,113,1355,0
1175,110,426,105,1124,0
402,4,96,3,414,1
386,3,93,1,393,1
416,10,184,6,431,1
392,4,94,1,400,1
412,10,182,6,427,1
1190,113,417,106,966,0
1280,120,548,116,1385,0
1115,105,418,100,1112,0
1250,117,532,113,1360,0
1180,111,428,106,1128,0
404,4,97,3,416,1
388,3,94,1,395,1
418,10,185,6,433,1
394,4,95,1,402,1
414,10,183,6,429,1
1195,113,419,106,969,0
1285,120,550,117,1390,0
1120,106,420,101,1116,0
1255,117,535,114,1365,0
1185,111,430,106,1132,0
406,4,97,3,418,1
390,3,94,1,397,1
420,10,186,6,435,1
396,4,95,1,404,1
416,10,184,6,431,1
1200,114,421,107,972,0
1290,121,552,117,1395,0
1125,106,422,101,1120,0
1260,118,538,114,1370,0
1190,112,432,107,1136,0
408,4,98,3,420,1
392,3,95,1,399,1
422,10,187,6,437,1
398,4,96,1,406,1
418,10,185,6,433,1
1205,114,423,107,975,0
1295,121,555,118,1400,0
1130,107,424,102,1124,0
1265,118,540,115,1375,0
1195,112,434,107,1140,0
410,4,98,3,422,1
394,3,95,1,401,1
424,10,188,6,439,1
400,4,96,1,408,1
420,10,186,6,435,1
1210,115,425,108,978,0
1300,122,558,118,1405,0
1135,107,426,102,1128,0
1270,119,542,115,1380,0
1200,113,436,108,1144,0
412,4,99,3,424,1
396,3,96,1,403,1
426,10,189,6,441,1
402,4,97,1,410,1
422,10,187,6,437,1
1215,115,427,108,981,0
1305,122,560,119,1410,0
1140,108,428,103,1132,0
1275,119,545,116,1385,0
1205,113,438,108,1148,0
414,4,99,3,426,1
398,3,96,1,405,1
428,10,190,6,443,1
404,4,97,1,412,1
424,10,188,6,439,1
1220,116,429,109,984,0
1310,123,562,119,1415,0
1145,108,430,103,1136,0
1280,120,548,116,1390,0
1210,114,440,109,1152,0
416,4,100,3,428,1
400,3,97,1,407,1
430,10,191,6,445,1
406,4,98,1,414,1
426,10,189,6,441,1
1225,116,431,109,987,0
1315,123,565,120,1420,0
1150,109,432,104,1140,0
1285,120,550,117,1395,0
